Field=#~Integer~#~50|Field=Comment~String~Comment~146|Field=Description~String~Description~146|Field=Designator~String~Designator~146|Field=LibRef~String~LibRef~146|Field=Quantity~Integer~Quantity~146|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project.PrjPcb|ReportField=ProjectFullPath~F:\项目\锡林\新版本\PCB_Project 项目整合+ 0603-1103\PCB_Project.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~195|ReportField=ReportTime~19:52:19|ReportField=ReportDate~2023/11/10|ReportField=ReportDateTime~2023/11/10 19:52:19|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2023/11/10|ReportField=CurrentTime~19:51:58|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\项目\锡林\新版本\PCB_Project 项目整合+ 0603-1103\Arduino Nano.SchDoc|ReportField=DocumentName~Arduino Nano.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2023/11/5|ReportField=Organization~|ReportField=ProjectName~PCB_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project.PrjPcb|ReportField=DataSourceFullPath~F:\项目\锡林\新版本\PCB_Project 项目整合+ 0603-1103\PCB_Project.PrjPcb
1|0603-50V-0.1uF|贴片电容|C1, C3, C5, C7, C8, C9, C10, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C41, C44, C46, C47, C48, C49, C50, C51, C52, C53, C54|Cap|35
2|CD-50V-10uF-F5(SMD)|贴片铝电解电容|C2, C4, C6|Cap Pol1|3
3|0603-50V-47pF|贴片电容|C11, C12, C13, C14, C15, C16, C17, C18|CAP|8
4|CD-50V-220uF-F8(SMD)|贴片铝电解电容|C36, C37, C38, C39|Cap Pol3|4
5|CD-50V-4.7uF-F5(SMD)|贴片铝电解电容|C40, C43, C45|Cap Pol1|3
6|0603-50V-1uF|贴片电容|C42|Cap|1
7|0603-50V-22pF|贴片电容|C55, C56, C57, C58, C59, C60|Cap|6
8|1N4007(SOD-123FL)|贴片二极管|D1|Diode|1
9|Header 20X2|排针|J1|Header 20X2|1
10|XH2.54-2P|插座|J2, J4, J5, J6|CON2|4
11|DG7620-2P|插座|J3|CON2|1
12|Header 8|排针|J7|Header 8|1
13|Header 22X2|排针|J28, J29|Header 22X2|2
14|Header 3X2|排针|J30, J31, J41|Header 3X2|3
15|Header 3|排针|J33|Header 3|1
16|Header 2|排针|J50, J51, J52, J55|CON2|4
17|Header 8X2|排针|J60, J70, J71|Header 8X2|3
18|Jumper|Jumper|JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10|Bell|10
19|HF49FD/005-1H11|Single-Pole Single-Throw Relay|K1|Relay-SPST|1
20|LED-φ3(翠绿)|发光二极管|LED1|LED|1
21|LED-φ3(红)|发光二极管|LED2|LED|1
22|LED-φ3(黄)|发光二极管|LED3|LED|1
23|LED-φ3(蓝)|发光二极管|LED4|LED|1
24|0603-LED-(蓝)|发光二极管|LED5|LED|1
25|Header 4X2|排针|P1|Header 4X2|1
26|Header 4|排针|P2|Header 4|1
27|S9013(SOT-23)|贴片三极管|Q1|S9013|1
